date,2330,2412,1216,2881,2884,SPY,TLT,GLD
2020-01-15,340.0000,109.0000,74.6000,46.8000,28.6000,8900.3923,3404.9347,4370.7019
2020-01-16,334.5000,109.5000,75.5000,46.9000,28.8500,9006.6250,3406.3842,4379.4972
2020-01-17,333.0000,109.5000,75.7000,47.1500,29.0000,9024.3957,3373.4285,4382.5955
2020-01-30,316.5000,108.5000,72.0000,45.0000,28.1000,8965.5173,3556.4565,4467.6107
2020-01-31,320.0000,108.0000,72.6000,45.0500,28.1000,8836.0705,3602.5260,4510.5127
2020-02-03,315.0000,108.0000,73.0000,44.1500,28.0500,8943.2631,3616.4099,4502.1327
2020-02-04,325.0000,108.0000,73.5000,45.0500,28.6500,9047.8563,3555.2439,4428.0429
2020-02-05,327.5000,108.0000,73.7000,45.4000,28.8500,9088.1792,3491.7176,4402.4051
2020-02-06,332.5000,108.5000,74.0000,46.0000,29.1000,9095.3751,3498.4595,4414.7772
2020-02-07,328.0000,109.0000,73.6000,45.4000,28.7000,9070.7611,3551.4577,4438.1336
2020-02-10,327.5000,109.0000,75.0000,45.1500,28.7000,9183.2125,3578.7260,4471.3260
2020-02-11,331.5000,108.5000,74.6000,46.0000,28.7500,9153.0952,3542.8707,4433.6391
2020-02-12,335.0000,108.5000,74.4000,46.3500,28.7500,9188.4450,3515.8826,4418.6752
2020-02-13,335.0000,109.5000,74.5000,46.0500,29.0000,9166.6884,3524.7741,4438.0459
2020-02-14,335.0000,109.0000,74.2000,46.1500,28.9000,9204.3978,3549.0821,4467.7651
2020-02-18,322.0000,109.5000,75.1000,46.0000,29.1000,9190.1688,3577.0830,4529.7148
2020-02-19,326.5000,110.0000,75.0000,46.3500,29.8500,9246.1051,3581.4856,4562.0483
2020-02-20,325.5000,109.5000,74.0000,46.1000,30.0000,9243.6566,3623.4714,4598.3621
2020-02-21,325.0000,109.5000,74.0000,45.7000,29.8500,9164.8431,3663.8624,4675.8075
2020-02-24,320.0000,108.5000,73.5000,45.0000,29.5000,8908.3770,3738.4877,4743.1066
2020-02-25,322.0000,108.5000,73.5000,44.9500,29.5500,8625.6420,3752.8279,4651.4285
2020-02-26,318.5000,108.0000,73.0000,44.7000,29.3000,8614.0266,3741.6865,4682.6897
2020-02-27,316.0000,108.0000,73.2000,44.4500,29.0500,8171.7001,3756.7845,4652.0320
2020-03-02,311.0000,108.0000,71.2000,43.9500,28.6500,8466.1569,3802.7582,4494.5008
2020-03-03,317.5000,108.0000,72.0000,44.1500,28.8000,8136.6632,3820.9073,4586.6915
2020-03-04,320.5000,109.0000,73.5000,44.4500,29.0000,8468.7166,3775.8914,4589.3434
2020-03-05,323.0000,110.0000,73.6000,45.1500,29.5000,8181.7021,3867.2826,4685.3277
2020-03-06,315.0000,108.5000,72.7000,44.2000,29.1000,8082.6911,4086.8765,4708.2244
2020-03-09,305.5000,107.5000,71.8000,42.3500,28.1500,7455.7167,4200.0291,4718.6766
2020-03-10,307.0000,107.5000,72.4000,42.3500,28.0000,7863.5426,3995.9364,4632.0828
2020-03-11,302.0000,108.5000,72.9000,42.1500,27.8000,7419.0867,3817.4491,4577.8779
2020-03-12,294.0000,107.5000,70.3000,40.5000,27.0500,6783.4721,3883.5989,4443.8973
2020-03-13,290.0000,106.0000,68.2000,39.6500,26.5000,7333.7354,3780.5404,4290.9494
